NAME,DESCRIPTION,Name_cluster,Desc_cluster,
AB Benefit Selection,One of the electronic enrollment systems used by agents for large case enrollments. Interfaces,1,,
Access Development Discount Programs,Access Development to create an Allstate Motor Club branded mobile application providing product discounts to their member base. Access Development provides customized discount loyalty programs.,2,,
Accurint for Insurance Plus v2.7.9,Provides data searches for companies.,3,,
ADP Payroll Tax Processing,"ADP is a vendor specializing in HR capital management and payroll processing. This Payroll Tax Service will succeed a service currently provided by another vendor ( Ceridian ) and will calculate and arrange payment of regular payroll taxes to the applicable authories, as well as annual generation of W2 statements.",4,,
AdTrax,"Externally hosted, AdTrax, accessed via the RegEd.com website, is an innovative online application for staying compliant when submitting, routing, reviewing, and tracking materials. AdTraxâ„¢ provides a simple interface for submitting pieces for review, and provides submitters with the status of all of their requests at the click of a button. AdTraxâ„¢ maximizes efficiency and eliminates paperwork by electronically routing review items to the right person. Reviewers can then review the item, make revisions, or assign a review decision to an item before sending their comments back to the submitter. AdTraxâ„¢ provides reviewers with all the tools they need to review an item online, eliminating the paper trail altogether.",5,,
AdvertServe,"Ad serving solution, benefits include Precisely target ads to a specific audience to optimize inventory usage and increase profits, Review detailed statistics reports in real-time, Improve search engine rankings.",1,,
Aeris Weather API v1.2.x,"Aeris Weather API is a hosted vended ?solution (by HAMWeather) for providing weather information to web sites and mobile applications. It provides a Resful API Service returning JSON data. The service itself is distributed over multiple regional locations, supporting load balancing , auto-scaling and recovery.",1,0,
AF Client Virtual Printer v2.01,Arbitration Forums (AF) is the US's largest membership-driven organization that provides arbitration and subrogation services.,6,0,
AFT Sweepstake,Sweepstake web pages on Allstate Rackspace servers.,7,0,
AFT-ABINITIO,"AFT version of an Integration tool for data analysis, batch processing. Used to extract, transform, and load data",8,0,
AFT-BRMS,.NET Macro Level Knowledgebase System that helps automate macro level knowledgebase logic.,8,,N/A
AFT-TIBCO,TIBCO middleware communication services between AFT Application and AFT Integration Points,8,0,
Agency e-Mail 2010,Agency WebMail environment running on Microsoft Exchange 2010 servers,8,,N/A
Agency WebMail,Agency web-based e-mail system with Exchange 2007 as the back end,9,,
AIR Worldwide Next Generation Platform (NGP),Catastrophe Modeling platform,9,0,
AL3 Viewer,It is a shareware product provided by 'Applied Systems'. The product is not created or supported by Applied Systems.,10,0,
Aladdin Enterprise Investment System,Aladdin combines sophisticated risk analytics with portfolio management,11,,
Algo Sensitivity Instrument,This is used to compute analytics for hedge funds,12,,N/A
ALLPAC Website,An externally hosted website created by PASS to allow eligible Allstate employees (Band E and above) to enroll in Allstate Insurance Company Political Action Committee (ALLPAC) and make donations to political parties for lobbying purposes.,13,,
Allstate Blog,Allstate agent blog that has an agent locator compoment and local content hub. Minimal support provided by SMCE as this is hosted externally.,14,,
Allstate Canada Drivewise,"Modus is a vended telematics solution hosted in the Amazon cloud. It provides a portal to be accessed by Allstate Agents to enter the customer details, email address, home address etc. It also provides a portal that customers can log into to access their driving data.",15,,
Allstate ENS - Emergency Notification System,An incident communications solution that notifies Allstate employees of significant unplanned events. Note the solution is resold through Sungard and hosted in Colorado.,15,,N/A
Archer SmartSuite v5.1,"Archer is the Governance, Risk, and Compliance Suite for the Enterprise. It contains the following components: Policy Management, Risk Management, Enterprise Management, Incident Management and Threat Management",15,,
Argus DCF Valuation,"A financial analysis program that allows you to analyze and forecast cash flows from commerical real estate ventures including office, retail, industrial, hotel, motel and other commerical properties",16,,N/A
Argus Enterprise,"Argus Enterprise is a 3rd-party platform used to manage and value real-estate investments. Functionality includes cash flow projections, investment valuation and analysis, portfolio scenario analysis, etc.",17,,
Ariba Sourcing Professional 12s1,This cloud-based solution provides Allstate with auction and RFx capabilities to identify suppliers we want to work with.,17,,
ATG Live Help On Demand,"WinCare is a windows-based client offering real-time, chat collaboration between agents and online customers via the Web. With WinCare, agents receive real-time information about a customers navigation through your website including web session history and historical data. The end result is an enhanced customer experience and an increase in the level of service provided. All Extrnally hosted",18,0,
Attenex Document Mapper,"The Attenex and Ringtail suite of products provide a legal review tool that leads to increased efficiency, effectiveness and consistency when executing the response management process. This ultimately leads to decreased time and cost",19,0,
Attenex Matter Manager,"The Attenex and Ringtail suite of products provide a legal review tool that leads to increased efficiency, effectiveness and consistency when executing the response management process. This ultimately leads to decreased time and cost",20,,
Attenex Workbench,"The Attenex Workbench Software automates the processing of large volumes of electronic files. The Workbench software is part of the Attenex Patterns e-discovery software suite, helps streamline the processing of electronic files associated with a discovery order and increases the efficiency and effectiveness of document reviews. Workbench is built on an underlying Microsoft SQL database server model that enables you to catalog, extract, index, cull, find, organize, and manage electronic documents.",20,,
Balsamiq Mockup,Balsamiq is a rapid prototyping tool. Desktop app.,20,0,
Banner Witcoff Site Active-x Control,Some users within Law & Reg need to access the Banner Witcoff site but there is an active-x control which doesn't work in MyND,21,0,
barometerIT,"SaaS platform that provides an IT organization with the ability to capture current state application portfolio information which results in the creation of an IT/Business Graph (unified IT) thathelps meet business objectives, reduce costs, and optimize the allocation of resources by engaging the collective experiences of IT, real--time contributions, and expert guidance.",22,0,N/A
Basecamp,"Basecamp is a web-based project management tool. eBusiness Marketing are creating an internal staff of SEO employees, doing work on behalf of agents to clean up local marketing information (Yahoo Local etc).",1,0,
BCC Mail Manager v3.x,"With end-to-end mail-processing features (presorting, address standardization, de-duping and more), USPSÂ® CASSâ„¢ and PAVEâ„¢ certified BCC Mail Manager handles mailing jobs with push-button simplicity, and helps professional mailers provide an unsurpassed portfolio of mailing services to a wide range of clients.",1,0,
Bing Maps,A web mapping service (subscription based and externally hosted) provided as a part of Microsoft's Bing suite of search engines and powered by the Bing Maps for Enterprise framework,23,,N/A
Blackboard Suite,"Creates a platform for interactive, agency focused sales training.",24,0,N/A
Blaze Advisor,"FICO Blaze Advisor is the worldâ€™s leading business rules management system (BRMS), maximizing control over high-volume operational decisions. Blaze Advisor provides companies with a scalable solution that delivers unprecedented agility and actionability for smarter business decisions.",25,,
Bloomberg,"Bloomberg is a market data and news tool. It consists of a desktop client and an Excel add-in. Single user licensed """"Bloomberg Anywhere"""" customers also have a hardware piece that verifies their ID",26,0,
BOA - Digital Disbursements,"Digital Disbursements provides an economical and convenient way for clients to distribute funds to customers using just their mobile number or email address â€“ regardless of their financial institution. This service provides the ability to send funds faster than by check, while also preserving the confidentiality of customersâ€™ account information. With this business-to-consumer solution, clients gain efficiencies while reducing the costs associated with paper check disbursements.",1,,
BoardVantage,BoardVantage is a secure web portal for a companies Board of Directors,27,0,N/A
Books 24x7,Books 24x7 is an electronic reference library for IT professionals. Reference - https://mydesktop.allstate.com/wps/mydsrv/ContentLanding?pageName=ATO_myDvlpmnt5&contentId=22807854,1,,N/A
Brentmark Estate Planning,"Brentmark Estate Planning includes over 100 calculation models in many areas, including Trusts, Annuities, Charitable Giving, Retirement, Taxes, Investments, Inflation, Real Estate, Insurance, Goals and Budgeting. Allstate Financial Agency Distribution Support uses this software to propose AF Life products to high net worth individuals",28,,N/A
BSI TaxFactory v10,BSI TaxFactory is a payroll processing and tax calculation 3rd party software that is used today for payroll tax calculations in the US. The software is installed on SAP PRD landscape and integrated with SAP HR Payroll module. BSI TaxFactory version 9.0 support is ending on November 2014. The software is to be upgraded to 10.0 LINUX version. The software is licensed through SAP AG. This is also BarometerIT clean-up request as the original P2A is not found.,29,,
CBCInnovis,Provides credit reports,30,0,
